Simulación,Secuencia,Peso [kg],V_Inicial_Z [m/s],V_Final_Z [m/s],KE_Inicial [J],KE_Final [J],KE_Abs [J],%KE_Abs [%]
case_0028_TTCCCTCCCTCC,TTCCCTCCCTCC,0.728438,180.5,11.81904125213623,814.50625,3.492243402992449,811.0140065970076,99.57124412452421
case_0029_TTCCCTCCCCTC,TTCCCTCCCCTC,0.728438,180.5,41.42446899414063,814.50625,42.89966578616297,771.6065842138371,94.73304645775733
case_0030_TTCCCTCCCCCT,TTCCCTCCCCCT,0.728438,180.5,58.613746643066406,814.50625,85.88928238843947,728.6169676115605,89.45504931503724
case_0031_TTCCCCTTCCCC,TTCCCCTTCCCC,0.728438,180.5,6.224335193634033,814.50625,0.9685587150677805,813.5376912849323,99.88108639865345
case_0032_TTCCCCTCTCCC,TTCCCCTCTCCC,0.728438,180.5,23.41071510314941,814.50625,13.7015395410207,800.8047104589793,98.31781038622839
case_0033_TTCCCCTCCTCC,TTCCCCTCCTCC,0.728438,180.5,2.2630937099456787,814.50625,0.1280398284998924,814.3782101715001,99.98428006801667
case_0034_TTCCCCTCCCTC,TTCCCCTCCCTC,0.728438,180.5,56.0948600769043,814.50625,78.6658331761868,735.8404168238133,90.34189938061411
case_0035_TTCCCCTCCCCT,TTCCCCTCCCCT,0.728438,180.5,55.44048690795898,814.50625,76.84118971478927,737.6650602852108,90.5659177305528
case_0036_TTCCCCCTTCCC,TTCCCCCTTCCC,0.728438,180.5,60.88022232055664,814.50625,92.66003674501007,721.84621325499,88.6237783018841
case_0037_TTCCCCCTCTCC,TTCCCCCTCTCC,0.728438,180.5,21.0822696685791,814.50625,11.111552359467261,803.3946976405327,98.63579286721652
case_0038_TTCCCCCTCCTC,TTCCCCCTCCTC,0.728438,180.5,57.020484924316406,814.50625,81.28339252510487,733.2228574748951,90.02053176079313
case_0039_TTCCCCCTCCCT,TTCCCCCTCCCT,0.728438,180.5,33.9213981628418,814.50625,28.766531333051173,785.7397186669489,96.46822460440897
case_0040_TTCCCCCCTTCC,TTCCCCCCTTCC,0.728438,180.5,2.761267900466919,814.50625,0.19061501045372467,814.3156349895463,99.97659747725032
case_0041_TTCCCCCCTCTC,TTCCCCCCTCTC,0.728438,180.5,7.599132537841797,814.50625,1.4436703831921478,813.0625796168079,99.82275514973739
case_0042_TTCCCCCCTCCT,TTCCCCCCTCCT,0.728438,180.5,29.36627578735352,814.50625,21.559453840472642,792.9467961595274,97.35306465230038
case_0043_TTCCCCCCCTTC,TTCCCCCCCTTC,0.728438,180.5,0.3134697079658508,814.50625,0.0024565814453048943,814.5037934185547,99.9996983962437
case_0044_TTCCCCCCCTCT,TTCCCCCCCTCT,0.728438,180.5,17.13736915588379,814.50625,7.342235539625927,807.1640144603741,99.09856608962474
case_0045_TTCCCCCCCCTT,TTCCCCCCCCTT,0.728438,180.5,0.3252261281013489,814.50625,0.002644300859994875,814.50360569914,99.99967534922415
case_0046_TCTTTCCCCCCC,TCTTTCCCCCCC,0.728438,180.5,65.20948028564453,814.50625,106.30690797809658,708.1993420219035,86.94830052217567
case_0047_TCTTCTCCCCCC,TCTTCTCCCCCC,0.728438,180.5,71.39933776855469,814.50625,127.446635844704,687.059614155296,84.35289651310791
case_0048_TCTTCCTCCCCC,TCTTCCTCCCCC,0.728438,180.5,32.20098876953125,814.50625,25.922591943386944,788.5836580566131,96.817385754451
case_0049_TCTTCCCTCCCC,TCTTCCCTCCCC,0.728438,180.5,36.13338470458984,814.50625,32.640537255247175,781.8657127447528,95.99259830661248
case_0050_TCTTCCCCTCCC,TCTTCCCCTCCC,0.728438,180.5,69.62042236328125,814.50625,121.1750802510418,693.3311697489582,85.12287901399876
case_0051_TCTTCCCCCTCC,TCTTCCCCCTCC,0.728438,180.5,75.34732055664062,814.50625,141.93046787662897,672.575782123371,82.57466190386765
